Mo 29. Okt 21:43:25 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540845300.csv (13245845 entries, 1.94 G, cost 195180224 usec, 66.27 K/s)
Mo 29. Okt 21:48:23 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540845600.csv (13229221 entries, 1.94 G, cost 192766125 usec, 67.02 K/s)
Mo 29. Okt 21:53:13 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540845900.csv (13376184 entries, 1.96 G, cost 183790594 usec, 71.07 K/s)
Mo 29. Okt 21:58:12 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540846200.csv (13165496 entries, 1.93 G, cost 181767025 usec, 70.73 K/s)
Mo 29. Okt 22:03:40 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540846500.csv (13106820 entries, 1.92 G, cost 209991821 usec, 60.95 K/s)
Mo 29. Okt 22:09:10 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540846800.csv (13069975 entries, 1.92 G, cost 239237745 usec, 53.35 K/s)
Mo 29. Okt 22:13:52 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540847100.csv (12797962 entries, 1.88 G, cost 222203290 usec, 56.25 K/s)
Mo 29. Okt 22:18:00 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540847400.csv (13149554 entries, 1.93 G, cost 169543257 usec, 75.74 K/s)
Mo 29. Okt 22:23:04 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540847700.csv (12873662 entries, 1.89 G, cost 174236418 usec, 72.15 K/s)
Mo 29. Okt 22:27:59 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540848000.csv (12771544 entries, 1.87 G, cost 169505780 usec, 73.58 K/s)
Mo 29. Okt 22:33:06 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540848300.csv (12719500 entries, 1.86 G, cost 175503073 usec, 70.78 K/s)
Mo 29. Okt 22:38:15 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540848600.csv (12630877 entries, 1.85 G, cost 183808215 usec, 67.11 K/s)
Mo 29. Okt 22:43:10 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540848900.csv (12586480 entries, 1.84 G, cost 179373516 usec, 68.52 K/s)
Mo 29. Okt 22:48:08 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540849200.csv (12535445 entries, 1.84 G, cost 178044808 usec, 68.76 K/s)
Mo 29. Okt 22:53:08 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540849500.csv (12486467 entries, 1.83 G, cost 177890250 usec, 68.55 K/s)
Mo 29. Okt 22:58:11 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540849800.csv (12448001 entries, 1.82 G, cost 180509984 usec, 67.34 K/s)
Mo 29. Okt 23:03:24 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540850100.csv (12398643 entries, 1.82 G, cost 194205501 usec, 62.35 K/s)
Mo 29. Okt 23:08:54 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540850400.csv (12376568 entries, 1.81 G, cost 224364160 usec, 53.87 K/s)
Mo 29. Okt 23:13:39 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540850700.csv (12179264 entries, 1.78 G, cost 208909314 usec, 56.93 K/s)
Mo 29. Okt 23:17:58 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540851000.csv (12337442 entries, 1.81 G, cost 167764933 usec, 71.82 K/s)
Mo 29. Okt 23:23:01 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540851300.csv (12187135 entries, 1.79 G, cost 171372943 usec, 69.45 K/s)
Mo 29. Okt 23:27:56 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540851600.csv (12066158 entries, 1.77 G, cost 166176269 usec, 70.91 K/s)
Mo 29. Okt 23:32:59 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540851900.csv (12004015 entries, 1.76 G, cost 168687569 usec, 69.49 K/s)
Mo 29. Okt 23:37:59 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540852200.csv (12043677 entries, 1.76 G, cost 169104982 usec, 69.55 K/s)
Mo 29. Okt 23:42:59 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540852500.csv (12005056 entries, 1.76 G, cost 169629484 usec, 69.11 K/s)
Mo 29. Okt 23:47:56 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540852800.csv (11974442 entries, 1.75 G, cost 165564019 usec, 70.63 K/s)
Mo 29. Okt 23:52:55 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540853100.csv (11892985 entries, 1.74 G, cost 164452852 usec, 70.62 K/s)
Mo 29. Okt 23:57:53 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540853400.csv (11809488 entries, 1.73 G, cost 162793696 usec, 70.84 K/s)
Di 30. Okt 00:03:22 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540853700.csv (11882115 entries, 1.74 G, cost 192108121 usec, 60.40 K/s)
Di 30. Okt 00:08:56 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540854000.csv (12452351 entries, 1.82 G, cost 225165758 usec, 54.01 K/s)
Di 30. Okt 00:13:36 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540854300.csv (12130976 entries, 1.78 G, cost 206475971 usec, 57.38 K/s)
Di 30. Okt 00:17:51 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540854600.csv (11995078 entries, 1.76 G, cost 161136189 usec, 72.70 K/s)
Di 30. Okt 00:22:50 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540854900.csv (11866949 entries, 1.74 G, cost 159294829 usec, 72.75 K/s)
Di 30. Okt 00:27:43 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540855200.csv (11715605 entries, 1.71 G, cost 153390333 usec, 74.59 K/s)
Di 30. Okt 00:32:46 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540855500.csv (11627240 entries, 1.70 G, cost 156513431 usec, 72.55 K/s)
Di 30. Okt 00:37:52 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540855800.csv (11735859 entries, 1.72 G, cost 161937389 usec, 70.77 K/s)
Di 30. Okt 00:42:48 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540856100.csv (11704981 entries, 1.71 G, cost 158463607 usec, 72.13 K/s)
